職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
Senior Software Engineer ( 3D AI ),HOMEE AI_合宜家居股份有限公司,軟體工程師、演算法工程師,"年薪1,600,000~2,400,000元",台北市中山區樂群二路187號7樓,"Job Summary:

Join HOMEE AI, a leader in 3D AI technology revolutionizing the furniture industry, as a Senior Software Engineer. We seek experts in 3D Gaussian Splatting, Semantic Segmentation, and 3D vSLAM to enhance our spatial planning technology. This role demands proficiency in algorithm development, data optimization, and 3D model reconstruction, leveraging cutting-edge techniques for real-world applications.

Key Responsibilities:
- Develop and optimize algorithms for Gaussian Splatting, Semantic/Instance -Segmentation, and 3D Mesh Surface Reconstruction using data from various sources, including iOS devices and multi-modal sensor data.
- Integrate and improve algorithms within production-level software, focusing on data fusion, object detection, and 3D point cloud processing.
- Implement and refine methods in areas like inpainting, vSLAM, and depth estimation.
- Collaborate with cross-functional teams to ensure algorithms align with business goals and product requirements.
- Stay abreast of the latest trends and research in 3D AI technology, including advancements in machine learning and computer vision.

Required Qualifications:
- Bachelor’s or Master’s in Computer Science, Electrical Engineering, or related field.
- 5+ years of experience in software development, with a strong focus on 3D data 
processing and algorithm optimization.
- Proficiency in programming languages such as Python, C++, CUDA, and experience with deep learning frameworks (TensorFlow, PyTorch, Keras).
- Strong analytical skills and experience with large datasets, preferably in the context of iOS data, 3D point clouds, or multi-modal sensor fusion.

Desirable Skills:
- Experience with NVIDIA’s and cloud computing technologies (GCP, AWS).
- Leadership experience in project or team settings.
- Experience in developing and deploying large-scale 3D processing systems.",英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /中等,Linux、C、C++、Python,系統架構規劃、軟體工程系統開發、軟體程式設計,未填寫,https://www.104.com.tw/job/7zfa4?jobsource=index_s
Senior AI Engineer,Ingenta_インジェンタ株式会社,AI工程師,"年薪1,100,000~2,000,000元","日本#813, SENQ Roppongi 8F, 7-15-7 Roppongi, Tokyo 106-0032, JAPAN","[Responsibilities]
- Maintain deployed AI/ML models, ensuring their reliability and performance over time.
- Design and develop AI/ML models and algorithms to drive innovative applications and products.
- Perform data mining, data cleaning, and data preprocessing.
- Conduct experiments and prototype new models to evaluate their performance and potential impact.
- Collaborate with cross-functional teams, including AI scientists, product managers, and software engineers, to understand business needs and develop scalable and efficient AI/ML solutions.
- Communicate complex AI/ML concepts and the results of analyses clearly and effectively to stakeholders.",不拘,Git、Python、AWS,Machine Learning,"[Basic Qualifications]
- BS or MS degree in Computer Science or a related field, or equivalent work experience.
- Essential software engineering skills include proficiency in Git and its workflows, along with the capability to develop code that is ready for production use.
- Proficiency in Python, and familiarity with AI/ML frameworks and related tools (e.g., PyTorch, TensorFlow, Keras, Numpy, Pandas, Scikit-Learn).
- Strong understanding of AI/ML basic algorithms, principles, and best practices, especially in Computer Vision.
- Experience with data processing and data analytics tools and techniques.
- Ability to work collaboratively in a team environment and communicate technical concepts to non-technical stakeholders.
- Strong problem-solving skills and the ability to work on complex problems where analyses require in-depth evaluation of various factors.

[Preferred Qualifications]
- Experience in deploying AI/ML models in production environments, and familiarity with MLOps tools.
- Experience in model acceleration and optimization, and familiarity with related tools (e.g., OpenVINO, TensorRT).
- Knowledge of cloud computing services (e.g., AWS, GCP, Azure) and their AI/ML capabilities.
- Strong understanding of the latest AI/ML techniques and technologies in other fields, such as Natural Language Processing, Generative AI, and Graph Deep Learning.",https://www.104.com.tw/job/89t55?jobsource=index_s
【AIGC】Generative AI Enginee AI工程師(影像生成),數碼虛擬人科技有限公司,演算法工程師、軟體工程師、AI工程師,待遇面議（經常性薪資達 4 萬元或以上）,台北市中山區長春路210號2樓 (距捷運松江南京站約500公尺),"【Main Responsibilities】

1. Conduct research related to the art and design fields to maintain an understanding of the latest advances in the field of artificial intelligence generation, machine learning and deep learning technologies, and to identify opportunities for integrating them into virtual human products and services.

2. Collaborate with ML team, GE team and 3D art team to integrate AI generated content into projects.

3. Develop and import new AI Art Generator, an artificial intelligence art tool.

4. Integrate different AI models and techniques to create unique visual effects and styles.

5.Design, develop, and implement generative AI models and algorithms, utilizing state-of-the-art techniques such as GPT, VAE, and GANs.

6.Develop clear and concise documentation, including technical specifications, user guides, and presentations, to communicate research findings including status and results to both technical and non-technical stakeholders.

1.進行與美術和設計領域相關的研究，以保持對人工智慧生成領域、機器學習和深度學習技術的最新進展了解，並識別將其整合到虛擬人產品和服務中的機會。

2.與ML團隊、GE團隊和3D美術團隊合作，將人工智慧生成內容整合到專案。

3.開發和導入新的人工智能藝術工具AI Art Generator。

4.整合不同的人工智慧模型和技術創造獨特的視覺效果和風格。

5.利用最先進的機器學習算法，如GPT、VAE和GANs，設計、開發和實施人工智慧生成模型。

6.開發清晰簡潔的文檔，包括技術規範、使用者指南和演示文稿，向懂技術和非技術專業者(利益相關者)傳達近期相關研究，包括進行狀態和各種嚐試結果。


【Key Requirements】

1.Completed Master. in a related area, e.g. Computer Vision, Computer Graphics, VR/AR/MR.

2.Real passion and experience in AI generative area and keen interest of transforming research oriented foundation models into valuable and accessible real-life applications.

3.Practical experience in research of AI models, e.g. transformers, diffusion models, VAE/GAN. Familiarity with recent AIGC models, e.g. large language models (chatgpt, GPT4), multimodal foundation models [Vision and text and code and beyond] (CLIP, DALL-E2, Stable Diffusion, Codex), and deep knowledge of the capabilities and limitations of these models.

4.Familiarity with the following: deep learning frameworks, NLP-context understanding and topic tracking; NLG-summarization, prompt engineering, instruction tuning, RLHF, chatbot building, Vision Question and Answering/Captioning, text-to-image generation.

5.Proficient in Python programming with strong experience in machine learning libraries such as TensorFlow, PyTorch, and scikit-learn

6.Strong experience in image, and video generation, and content creation using AI

1.取得相關領域的碩士學位，如電腦視覺、電腦圖形、VR/AR/MR。

2.對人工智慧生成領域有熱情和經驗，對將研究導向的基礎模型轉化為有價值和可應用於現實生活有濃厚的興趣。

3.在人工智慧模型的研究方面有實際經驗，例如transformers、diffusion models、VAE/GAN。熟悉最近的AIGC模型，例如大型語言模型（ChatGPT、GPT4）、多模態基礎模型[視覺、文本、代碼及更多]（CLIP、DALL-E2、Stable Diffusion、Codex），並對這些模型的能力和限制有深入的了解。

4.對以下任一技能熟悉：深度學習框架、NLP-語境理解和話題追蹤；NLG-摘要、提示工程、指令調整、RLHF、聊天機器人構建、視覺提問和回答/字幕、文本到圖像生成。

5.精通Python程式設計，對TensorFlow、PyTorch和scikit-learn等機器學習庫有豐富經驗。

6.對使用AI產生2D/3D圖像、影片生成和內容創作方面擁有經驗。",不拘,C++、Python、Visual Studio,軟體程式設計、Machine Learning,"1.You possess excellent problem-solving skills, with the ability to think critically and creatively to develop innovative AI solutions.

2.Strong communication skills, with the ability to effectively convey complex technical concepts to a diverse audience.

3.You possess a proactive mindset, with the ability to work independently and collaboratively in a fast-paced, dynamic environment.

1.您擁有出色的問題解決能力，能夠批判性和創造性地思考以開發創新的 AI 解決方案。

2.良好的溝通技巧，能夠有效地將復雜的技術概念傳達給不同的受眾。

3.您擁有積極主動的心態，能夠在快節奏、動態的環境中獨立和協作地工作。",https://www.104.com.tw/job/7zc4w?jobsource=index_s
AI工程師,雄獅資訊科技股份有限公司,軟體工程師、AI工程師,待遇面議（經常性薪資達 4 萬元或以上）,台北市內湖區石潭路151號,"工作內容：
1. AI應用服務開發與部署。
2. 模型建置、訓練與維護。
3. 運用AI模型分析資料，並產出可行的方案與洞見報告。
4. 研究與評估最新的深度(機器)學習演算法及論文並實作出。
5. 資料預處理，如資料清洗、特徵工程……等。

職務需求：
 1. 熟悉Tensorflow, Pytorch, Huggingface等框架。
 2. 熟悉 NLP 演算法原理並具備實作經驗。
 3. 熟悉Python及物件導向。
 4. 熟悉 SQL 及 NoSQL資料庫語法與操作。
 5. 具備團隊觀念，良好的溝通能力，有開發熱情，主動積極。",不拘,Linux、Github、Python,Machine Learning、軟體程式設計,"1. 具AI應用服務開發及上線營運經驗者佳。
2. 具數據分析相關經驗者佳。
3. 理解主流LLM模型架構且有實作模型訓練和優化經驗者佳。
4. 具備 Docker 、Kubernetes使用經驗且能夠進行容器化部署者佳。
5. 具備MLOPS使用經驗者佳。",https://www.104.com.tw/job/83ctt?jobsource=index_s
AI Engineer,鈺立微電子股份有限公司,軟體工程師、AI工程師,待遇面議（經常性薪資達 4 萬元或以上）,台北市內湖區基湖路35巷22號2樓 (距捷運西湖站約350公尺),"1. AI 模型訓練、資料處理
2. AI加速器應用之AI 模型轉換及優化
3. AI開發環境架設、使用者教學及客戶問題協助",英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,C、C++、Python,軟體程式設計、資料庫程式設計,"1. 3年以上AI模型訓練，資料處理，訓練環境建構經驗。
2. 熟Tensorflow或Pytorch
3. 具AI加速器應用及模型量化經驗尤佳。
4. 具電腦視覺應用經驗及影像辨識尤佳
5. 溝通表達能力佳，能做技術介紹及回覆客戶需求",https://www.104.com.tw/job/84845?jobsource=index_s
AI工程師,晶達光電股份有限公司,AI工程師、軟體工程師、其他資訊專業人員,待遇面議（經常性薪資達 4 萬元或以上）,新北市新店區寶橋路235巷137號8樓,"1. 企業AI專案執行
2. 建構企業自有LLM客服機器人
3. RPA導入
4. 大數據應用",不拘,不拘,不拘,擅長Azure Open AI 、GCP、GAI、RPA佳,https://www.104.com.tw/job/896uy?jobsource=index_s
AI 工程師,諾思資訊股份有限公司,AI工程師,待遇面議（經常性薪資達 4 萬元或以上）,台北市內湖區南京東路六段372號,"North 的產品橫跨「數位娛樂」、「系統整合」、「應用軟體」、「硬體設備規畫製作」等，希望以自身的軟硬體知識、國際交流的專業，帶領團隊服務更多廠商。
我們是一個擁有持續創新思維的團隊，在開放式空間一起工作，在歡樂的氛圍中激盪新點子，用創意發想解決問題的方案。
 
身為 AI 工程師，你將優化我們的基礎架構，對我們的產品有透徹的了解，確保應用程式正常運作。

【工作內容】
1. 實作影像辨識相關之 AI 模型
2. 評估專案可行性以及討論相關需求規格，並與其他團隊合作完成模型部署
3. 優化現有 AI 模型
4. 撰寫相關使用手冊

【必要條件】
1. 具有影像處理的相關經驗 
2. 能獨力完成從資料前處理至建模的完整流程 
3. 熟悉 OpenCV 、PyTorch 或 TensorFlow 
4. 熟悉 Git 版控、Docker 部署",不拘,Linux、Github、Python,Machine Learning,未填寫,https://www.104.com.tw/job/8agsh?jobsource=index_s
(HX S/W)AI Engineer-J02039,宏達電 HTC Corporation_宏達國際電子股份有限公司,AI工程師,待遇面議（經常性薪資達 4 萬元或以上）,新北市新店區,"• Manage and direct processes and R&D (research and development) to meet the needs of our AI strategy
• Understand company and client challenges and how integrating AI capabilities can help lead to solutions
• Lead cross-functional teams in identifying and prioritizing key areas of a partner’s business where AI solutions can drive significant business benefit
• Analyze and explain AI and machine learning (ML) solutions while setting and maintaining high ethical standards

Responsibilities
• Advise C-suite executives and business leaders on a broad range of technology, strategy, and policy issues associated with AI
• Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with an advanced engineering team and executive leadership
• Articulate and document the solutions architecture and lessons learned for each exploration and accelerated incubation",不拘,不拘,不拘,"Required skills and qualifications
• Two or more years of experience in applying AI to practical and comprehensive technology solutions
• Experience with ML, deep learning, TensorFlow, Python, NLP
• Experience in program leadership, governance, and change enablement
• Knowledge of basic algorithms, object-oriented and functional design principles, and best-practice patterns
• Experience in REST API development, NoSQL database design, and RDBMS design and optimizations",https://www.104.com.tw/job/895rp?jobsource=index_s
AI 客戶代表,Taiwan AI Labs_台智擎股份有限公司,國內業務、通路開發人員,待遇面議（經常性薪資達 4 萬元或以上）,台北市大同區,"Taiwan AILabs is looking for top talents to develop world-class AI research. 

台灣人工智慧實驗室專注研發能解決問題的 AI 技術，包含醫療、人機互動、智慧城市三大領域。將AI生成式技術、語音互動、藝術創作科技融合生活與人性為核心，打造產業正面影響力，並率領從台灣出發的 AI 技術能量走向世界。

Responsibilities
1.定期拜訪經銷通路夥伴，維繫穩定夥伴關係並協助開發客戶潛在商機，拓展市場，以達成業績目標。
2.負責業務接洽及報價，掌握客戶狀況，追蹤Pipeline並制定聯合GTM計畫。
3.負責和BD、產品與技術部門之間的協調作業，以利業務進度之推展。
4.建立經銷生態環境，處理客戶端之問題，給予完善的處理。
5.與管理團隊合作，確保制定明確的戰略。

Essential Qualifications
1.3年以上IT或AI 通路產業業務經驗。
2.優秀的溝通能力、反應快、理解力強、並勇於接受挑戰。　
3.對軟體開發產業、市場應用有想法與熱忱，並具備產業相關基礎知識與經驗。

Experience in at least one of the following area is required【加分條件】
1. 有以下領域事業開發與產品銷售經驗。
    a. AI 或 NLP 相關的產品
    b. 資料分析產品
2. 資工或資管背景者。",英文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通,不拘,行政事務處理、業務或通路開發,未填寫,https://www.104.com.tw/job/7wliw?jobsource=index_s
AI 應用訓練師,藝次元互動科技股份有限公司,AI工程師、廣告設計,待遇面議（經常性薪資達 4 萬元或以上）,台北市大安區四維路120號 (距捷運大安站約450公尺),"藝次元是間把互動科技應用在體驗行銷的設計與製作公司。
我們想找一位對AIGC有強烈的熱情與執念，喜歡嘗試新的挑戰、希望將AIGC運用到行銷市場、商業宣傳、活動、策展...等，喜歡美的事物更喜歡看到理性與感性交織出的產物，對於AIGC的工具與新知能主動學習了解，並與團隊夥伴創作出好玩的作品！

【必備條件】
有實際AI生成模型訓練經驗
有串接AIGC API的實際經驗
須了解AI/ML深度學習演算法與優化，確保模型訓練的準確性
產出AIGC工作流程自動化
欣賞美的事物，尤其是理性與感性融合的創作
開放的心，樂於接受更棒的想法

【專業加分技能】
• Python技能要求：具備精湛的Python技術，能夠在模型開發、資料處理和自動化領域高效運作。
• 資料操作能力：熟練運用SQL在各種關聯式和非關聯式資料庫中進行資料操作和分析。
• Web API專業知識：具備豐富的Web API設計和實作經驗，能夠熟練應用於實際項目中。
• 版本控制技能：熟練使用Git進行代碼管理，並能夠保持良好的團隊協作和版本控制。",不拘,Github、Git、Python,不拘,"1.熟悉Python等程式語言，具備Git Workflow、Docker等相關技術經驗；
2.有AI開發經驗，對影像合成、自然語言處理等有較深的瞭解；
3.熟悉Google Cloud Platform或其他雲平臺，以及MySQL等關聯式資料庫；
4.具備良好的英文閱讀及撰寫能力，並能夠適應團隊合作的工作環境。",https://www.104.com.tw/job/89r56?jobsource=index_s
