職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
【數位技術】ETL資料分析工程師-台中廠-R08,友達光電股份有限公司,資料工程師、系統分析師、資料庫管理人員,40000.0,台中市西屯區中科路1號,"作為一名ETL資料分析工程師，你需要具備數據分析、數據庫管理和開發以及物料管理的相關知識和技能。
你將在數據的整合、日誌解析和報表開發方面發揮關鍵作用，並負責友達轉型核心業務之一的供應鏈相關系統專案。

【工作內容】
1. 日誌解析開發：
開發和維護高效的日誌解析系統，處理大量的不同格式的日誌數據，確保在高負載環境下系統具有良好的性能和可擴展性。

2. 數倉資料分析與報表開發：
設計、開發和維護數倉和相關的資料分析工具和報表系統，並協助業務部門分析和可視化數據以支持企業決策。負責撰寫ETL程序從各種來源提取、轉換和載入數據。

3. 物料全鏈路報表與流程導入：
開發和維護物料全鏈路報表系統，與相關部門合作導入物料全鏈路流程，並整合ERP系統和其他相關系統，實現自動化和數據集成，確保物料全鏈路的有效管理和運作。


【必要條件】
1. 孰悉Java, Spring Boot, HTML5 , Python ,DB/SQL , Angular JS
2. 熟悉 蒐集、分析、ELK 與 數倉與資料中台
3. 具備製造業MES/產線製造相關系統或專案經驗

【加分條件】
1. 具備SCJP 認證
2. 具備數倉或資料庫治理、系統報表開發相關經驗",不拘,不拘,不拘, ,https://www.104.com.tw/job/8cwd8?jobsource=index_s
Data Engineer / 資深資料工程師(Python),馬來西亞商極限電腦科技有限公司台灣分公司,數據分析師、資料工程師、資料科學家,40000.0,台中市西屯區文心路二段201號 (距捷運市政府站約290公尺),"【工作內容說明】
1.開發大數據系統資料處理平台
2.串流資料平行處理程序開發,熟悉分散式運算,平行運算
3.解決大量資料處理時所衍生的效能,擴充與維護維運資料庫
   •使用Clickhouse、RedShift 、AWS aurora(Postgresql)
4.具有大數據資料解析程式開發能力
   •會有大量的Database Report，需要用SQL及Python產生
   •使用自我產品資料視覺化
5.與其他系統開發工作團隊配合
6.能獨立作業,抗壓性高

【加分特質】
  - 良好的溝通能力
  - 資訊管理學系/資訊工程學系/數理統計、資訊相關科系
  - 資料科學/數據分析/資料工程相關經驗  
  - 熟悉 Pandas, Numpy, Sklearn,Tensorflow, Pytorch等模組尤佳
  - 具SQL資料庫程式開發經驗
  - 勇於挑戰，不怕失敗，不受限固定思維，勇於突破與創新",不拘,Python、ETL、MS SQL、PL/SQL、PostgreSQL,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,"加分項目：
   - 使用過PostgreSQL等經驗",https://www.104.com.tw/job/82m8t?jobsource=index_s
【台中】數據工程師,今網智慧科技股份有限公司,軟體工程師、演算法工程師、韌體工程師,40000.0,台中市北區太原北路130號11樓,"你是否對於數據的力量充滿熱情？我們正在尋找一位數據工程師，加入我們充滿活力的軟體平台團隊，透過數據驅動的創新，實現營收的飛躍增長。

作為一家領先的軟體平台公司，我們深知數據的價值和潛力。作為數據工程師，你將成為我們實現數據驅動營收目標的關鍵角色。

我們期待找到以下具備技能和特質的伙伴：

數據專業知識：具備深入的數據工程和資料庫管理知識，熟悉數據匯流架構的設計和實施，能夠建立高效且可擴展的數據倉儲。熟悉數據處理和清洗技術，能夠確保數據的質量和準確性。

技術專長：熟悉常用的數據工程技術和工具，如Hadoop、Spark、SQL等。具備良好的編程能力，能夠使用Python、C#等語言進行數據處理和開發相關工具。

商業洞察力：能夠理解業務需求，將數據轉化為有價值的洞察，推動業務增長和效率提升。具備數據分析和數據可視化的能力，能夠向團隊和管理層傳遞清晰的數據報告和見解。

創新思維和解決問題的能力：具有創新思維，能夠提出新的數據驅動解決方案，優化業務流程並挖掘新的商機。能夠快速識別並解決數據相關的技術和業務挑戰。

加入我們的團隊，你將有機會參與透過數據驅動影響數百萬用戶的體驗和產品成功。我們提供優越的工作環境和良好的成長機會，讓你的才華得以充分展現和發展。

如果你渴望成為數據工程領域的佼佼者，我們誠摯地邀請你加入我們的團隊。我們期待與你見面，一同創造觸手可及的美好生活！


1.應用BigQuery、RDBMS、NoSQL
2.規畫即時與批次資料流處理設計
3.建構數據倉儲及ETL流程設計開發與維護
4.規畫數據架構，執行數據建模與剖析
5.軟體開發相關經驗 Python / C#",不拘,C#、Python、VBA、ETL、RDBMS、Tableau、Google Data Studio、Firebase,不拘, ,https://www.104.com.tw/job/7efbu?jobsource=index_s
"資深資料科學工程師 Sr. Data Engineer(SRE) - 台中 數據技術發展(數數發中心, DDT)_I00016163",國泰金控_國泰金融控股股份有限公司,資料工程師、軟體工程師、雲端工程師,40000.0,台中市烏日區,"我們數據技術發展小組（Data Science & Technology）正在尋找一位有經驗的雲端平台運維工程師（Site Reliability Engineer），專注於投資數據平台的穩定運行、高效性能和安全性。作為投資數據雲端平台運維工程師，您將參與平台的部署、自動化、監控和維護，確保投資數據的高可用性和完整性

[工作內容]
資深資料工程師（SRE）職務可能包含但不限如下相關內容：
1. 負責建立、配置和管理雲端基礎設施，以支持雲端投資平台的運行
2. 制定監控和評估現有的運維流程和標準，提出改進建議以確保效能和符合最佳實踐
3. 使用自動化工具和腳本語言進行雲端數據平台的自動化，包括部署和配置
4. 管理數據庫系統，包括 SQL 和 NoSQL 數據庫，進行性能優化和數據庫維護
5. 部署監控系統，追蹤平台的性能，進行調整以確保高效運行
6. 迅速回應並解決投資數據平台相關的故障和問題，確保高可用性和完整性
7. 實現持續整合和持續交付（CI/CD）流程，以實現投資數據平台的快速部署
8. 跟進投資數據和雲端技術的最新發展，提出相應的改進建議，以確保平台保持在行業的最前沿

[我們的團隊介紹與文化特色]
- 我們是集團的資料科學團隊，特別針對資料科學人才好手提供優質的新創研發環境
- 有實驗室的理論研究精神，也有業界專業務實落地的應用
- 從各個產業的生活化資料上，使用高度自動化的人工智慧與資料科學技術，讓客戶體驗最佳化
- 從專案的開發來接地氣，從新技術的研究來保持創新，從產品的發展來規模化
- 擁抱雲端技術，更重視開放的資料技術
- 重視由下往上的團隊溝通，在自律的前提下享受自由的研發風氣
- 重視團隊與個人在創新與技術深入成長的平衡發展
- 在技術研究目標上，採有彈性的團隊模式規範，讓創新與成果導向可以並重平衡
- 開放與分享是我們的基因，要有主動挖掘問題、主動解決問題的能力，也要有主動分享、傳承學習並追求進步的特質條件
- 進步快速的團隊，能夠因應組織任務需求來調整工作內容",不拘,不拘,規劃、組織、指導及協調組織內部行政作業、部門人力成本控制、預算編製與成本控管、專案人力資源管理、專案成本╱品質╱風險管理、專案時間╱進度控管、專案採購管理、專案規劃執行╱範圍管理、專案溝通╱整合管理、專案管理架構及專案說明、工作任務╱業績項目分配、培育人員職涯發展、業績目標達成、督導人員工作績效、危機與議題管理、協商談判能力、部門績效目標管理,"[必要條件]
- 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享的態度
- 熟悉 Git 版控機制
- 具 Python 後端/後台系統開發維護經驗
- 熟悉 Linux 系統開發環境且具備自動化工具和腳本語言的使用經驗，如 Bash、Python、Terraform 等
- 對 AWS、GCP 或 Azure 的資料及系統服務架構有基本概念，尤其是 GCP 的使用經驗
- 習慣 DevOPS 文化或熟悉 SRE 者，如：CICD、自動化測試環境工具、壓力測試與評估、自動化監控與效能調教
- 熟悉 Docker、Kubernetes 等容器技術
- 喜歡 OpenSource 的生態，並有實際資料的應用專案或產品的開發與落地經驗成果者
- 熟悉網路通訊相關協定與應用，如：TCP/IP、Routing、DNS、HTTP、Web Services、Web Services Security
- 使用監控工具的經驗，如 Prometheus、ELK 等。監控系統指標，分析性能瓶頸並提出優化建議
 
[加分條件（非必要）]
- 具備軟體產品開發經驗
- 熟悉或有大量資料處理的 Opensource 經驗者，如 Spark、Hadoop、Hive、Kafka、Elasticsearch、MongoDB、Radis 或是其他相關生態系服務
- 熟悉或有微服務及 API 經驗者，如：Nginx、Flask、Kubernetes、Openshift
- 熟悉或有機器學習的預測模型或開發服務的經驗者，如：TensorFlow、Pytorch、Kubeflow
- 有網路爬蟲設計與開發經驗者
- 具備基礎資料分析概念
- 了解數據庫系統，具備 SQL 和 NoSQL 數據庫的管理經驗
- 評估及制定運維監控流程及標準的經驗
- 熟悉 Scrum 等敏捷式開發模式
- 善橫向跨部會溝通，表達能力佳
- 具專案管理能力",https://www.104.com.tw/job/87twv?jobsource=index_s
生物大數據工程師/研究員 (農林漁畜/環工),益農有限公司,資料科學家、演算法工程師、數據分析師,40000.0,台中市北屯區,"• 公司簡介
作為新一代糧食科技公司，益農專注於運用領先業界的遺傳基因體大數據分析、統計、深度學習等技術，協助全球的農、林、漁、牧及環工業者制訂永續糧食生產之決策及因應措施

• 本職缺主要工作內容
1. 生物資訊定序資料應用分析
2. 演算法開發
3. 資料庫建構與維護
4. 其他交辦事項

• 發展遠景
本職缺除了有機會接觸到基因體大數據於不同領域的運用，並學習到新的分析方法和工具，更可以透過人工智慧技術的開發，協助全球的客戶解決糧食與環境問題，與世界的舞台接軌。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '精通', 'Write': '精通'}]",Linux、UNIX、Github、Git、Java、Python、JavaScript、MySQL,軟體程式設計、Machine Learning、機器學習、演算法設計、資料庫系統管理維護、資料庫軟體應用,"1. 具備二代或三代定序資料分析經驗
2. 具備英文文獻閱讀能力
3. 精通Unix/ Linux操作
4. 精通至少一種常見程式語言(如Python、R、Java、Javascript) 
5. 精通後端開發語言(如mySQL)
6. 熟悉版本控制工具為佳(如Git/GitHub/GitLab)
7. 容器化相關技術為佳(如Docker或Singularity)
8. 具備機器學習相關開發經驗為佳
9. 具備程式開發熱忱，認真負責，有團隊合作精神並能獨立思考解決問題",https://www.104.com.tw/job/8cu98?jobsource=index_s
大數據工程師,新穎資訊有限公司,演算法工程師、資料庫管理人員,59000.0,台中市北區臺灣大道二段360號,"1. 以集團內部之業務資料，進行資料處理、資料分析，並持續完善現有的資料倉儲，以支援業務需求。
2. 工作內容包含模型設計、指標設計、成效分析乃至整個 Data pipeline 的設計與串接","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '中等', 'Write': '中等'}]",Java、Python,不拘,"1. 1 年以上相關經驗。
2. 擅長 Python & PySpark 或 Java & MapReduce。
3. 熟悉資料抽取/清理/轉換/載等ETL流程。
4. 學習、整合能力強，樂於團隊合作，分享成果。
5. 熱於研究新技術並能快速加以學習。
6. 面試時需準備相關簡報作品並展現口語表達能力。",https://www.104.com.tw/job/7g15i?jobsource=index_s
Data Engineer with Databrick數據工程師(台中台南皆可),葳誠科技有限公司,軟體工程師、系統分析師、其他資訊專業人員,91666.0,台中市西屯區科園路一號,"新增一位駐點於外商客戶端
 
工作會比較需要程式開發為主大概佔50%以上
• 良好的溝通能力、邏輯思考能力、能夠清晰表達自己的想法，同時能與團隊一起探討每項行動背後的思路與目標。
必備的能力和經驗
1. Programing ability or experience, e.g PySpark, SQL

2. Familiar with Python dataframe

3. Platform experience is plus, e.g. Databricks, Gitlab

• 三年以上Databricks, Python dataframe, PySpark, SQL 開發經驗, 五年以上數據開發經驗，data warehouse開發與管理 is a plus

• IT系統專案經驗(IT project development experience)

• 製造業相關產業IT經驗

• 熟悉製造業或是ERP相關流程與數據

• 英文讀寫能力，根據需要完成相關技術、測試文件

• 在跨國公司工作和與全球團隊互動的經驗，能與不同文化/工作模式的同事一同合作

 

▇ 相關工作職責

• 與使用者一同合作來定義需求以滿足業務要求，並滿足可擴展以及可行性

• 將需求轉換為設計開發規範文件(specifications)並進行開發 

• 針對專案運行產生的問題/需求進行維護、管理以及提供問題根本原因的解決方案或替代方案(root cause solving or workaround solution)

•  針對不同範圍/複雜性的技術問題提供解決方案

• 在設計、開發、部署階段，根據需要完成相關技術、測試文件

• 新技術、專案上線後的技術移轉與技術支持

 

▇ 加分的能力和經驗

• 持續學習，會根據市場趨勢或公司需要增加技術或非技術相關的能力

(如Databricks、Qlik Replicate)

• 專案管理經驗

• 其他：持續學習(成長心態)-樂於找方法/解決問題、當責(accountability)、良好的溝通(傾聽)能力、自我管理能力強","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '精通', 'Write': '精通'}]",ETL、MS SQL、MySQL,資料庫程式設計、資料庫軟體應用,未填寫,https://www.104.com.tw/job/8cqk0?jobsource=index_s
助理資料工程師,長佳智能股份有限公司,資料工程師、數據分析師,40000.0,台中市西區台灣大道二段573號8樓,"1.資料管理
2.資料整理及分析
3.其他主管交辦事項",不拘,Python、MS SQL、MySQL,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,"1.熟悉醫學影像相關臨床流程
2.對程式語言有興趣(熟練python pandas者佳)
3.對資料視覺化/統計分析有興趣",https://www.104.com.tw/job/864b9?jobsource=index_s
量化策略與金融大數據工程師,全富數位有限公司,演算法工程師、軟體工程師、Internet程式設計師,100000.0,台中市北區崇德路一段631號17樓之3 (距捷運文心崇德站約500公尺),"1、量化交易相關資料庫的維運
2、量化交易模組的開發及維運
3、投資策略因子分析，包括找尋新因子、建構策略
4、協助維護公司量化交易系統，包括交易策略、風險控制、交易盈虧計算
5、責任心強、擅於學習、具有獨立分析並解決問題的能力
6、了解交易策略建構、回測、評估者佳
7、熟悉資料分析、統計學理論和演算法、機器學習者佳",不拘,Linux、C、Python,不拘,未填寫,https://www.104.com.tw/job/7q9k6?jobsource=index_s
資料工程師,樂夠科技有限公司,資料工程師、資料科學家,65000.0,台中市西屯區市政路,"1. 熟悉 SQL Server、MySql、MongoDB 建置、管理、維護。
2. T-SQL 及 Stored Procedure 效能調校。
3. 資料庫日常監控、異常排除及系統性能優化。
4. 具 DB HA 架構建置和維護經驗。
5. 提供 RD 諮詢並給予建議，進行 DB-Schema 建置與異動的工作。
6. 資料庫備份管理、災難復原及定期系統升級或更新。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",Linux、hadoop,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,"1. 具MySQL 3 年以上DBA管理相關工作經驗。
2. 具MS SQL, MongoDB, PostgreSQL等管理經驗尤佳。
3. 具Google Cloud, AWS 雲端服務管理經驗尤佳。
4. 熟悉資料庫基本原理, 架構與DB壓力測試方法論與實作。
5. 具後端開發能力者將優先考慮。
6. 能獨立作業, 並有良好的自我管理及團隊合作能力, 熱愛挑戰, 對技術有熱忱。 ",https://www.104.com.tw/job/8831f?jobsource=index_s
