職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
數據分析工程師,馗鼎奈米科技股份有限公司,數據分析師、資料工程師,52500,台南市永康區永科環路255號,"1. 協助單位分析數據、建立模型、數據視覺化，並協同轉化成可執行方案，並追蹤方案成效(時序數據分析、設備預警-設備異常識別-預測異常)
2. 專案管理：協助平行展開設備智慧化專案開發
3. 具Python程式撰寫能力，熟悉資料分析技術(統計學、機器學習、深度學習、強化學習、等)者佳
4. 具備設備整合、智慧製程經驗者佳","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、Excel,不拘,未填寫,https://www.104.com.tw/job/8d2ra?jobsource=index_s
AI/ML Engineer,翔安生醫科技股份有限公司,資料科學家、數據分析師、資料工程師,40000,台南市新市區南科三路23號4樓之1C室,"- 收集與清理「時間序列」結構的資料，並從資料中探索出有用的資訊，及建立與其相關的機器學習或深度學習模型。
- 優化模型訓練、評估流程，將研發模型預測流程的時間成本最小化。
- 與前、後端工程師討論模型佈署流程，並負責系統上線時資料流程（ETL）與模型預測環節。
- 協助國際期刊或研討會之論文撰寫。
- 設計與開發可即時更新的視覺化儀表板。

資料科學家在現今數據爆炸的時代是非常重要的，因為他們可以透過數據分析提供各種決策支援，協助公司提高效率、創造商機，同時也能發揮專業技能，推動自身發展。
如果您具備以上技能及資格，歡迎您加入我們的團隊，一起發揮專業技能，創造商機。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 熟悉機器學習相關知識，並熟悉 Python 程式語言。
2. 具有資料庫程式語言 SQL 的能力，熟悉Linux 系統操作。
3. 曾參與機器學習相關研究、競賽或發表論文經驗者優先考慮。
4. 具備負責任、積極的態度和良好的邏輯思維能力，且能與團隊成員合作。

資格審查原則：不論學歷，完全沒接觸過資料科學或沒建過模型者原則上會直接不考慮，公司需要有能力自學的人。

應徵資料準備建議：將有參與過的計畫、專案、競賽或發表及其相關資訊仔細彙整，包含分析或實驗流程、評估結果等，以利公司主管能清楚知道應徵者具體的實力。",https://www.104.com.tw/job/85kwu?jobsource=index_s
資料科學家,永大杉綠能科技股份有限公司,資料科學家、數據分析師、資料工程師,40000,台南市安南區安新二路99號,"工作內容:
1. 電腦視覺演算法開發。
2. 優化既有之特徵粹取方法。
3. 協助收集資料及分析資料, 提升模型準確度。
技能需求
1. 熟悉Python
2. 具Git版控能力
3. 熟悉嵌入式系統或Ubuntu系統

科系要求 大學以上，應用數學相關、統計學相關、資訊工程相關、電機工程相關",不拘,Linux、C++、PHP、Python、Node.js,軟體工程系統開發、軟體程式設計、資料庫程式設計,未填寫,https://www.104.com.tw/job/8afpa?jobsource=index_s
大數據、AI軟體工程師,世紀民生科技股份有限公司,軟體工程師、AI工程師、演算法工程師,75000,台南市安平區永華路二段248號,"1.  具備Deep Learning Framework相關實作經驗
2.  具備在影像深度學習辨識/特徵分析相關經驗
3.  具備演算法設計能力、機器深度學習或LLM經驗
4.  具備相關實務經驗2年或以上
5.  熟悉Yolo、Faster RC或其他物件辨識的類神經網路模型架構
6.  熟悉C/C++, Python, OpenCV
7.  具備AI訓練資料蒐集整理經驗
8.  工作態度積極進取、認真負責
9.  分析與解決問題能力
10. 熟悉Linux系統操作經驗
11. AI相關競賽經驗",不拘,不拘,作業系統基本操作、系統架構規劃,未填寫,https://www.104.com.tw/job/89p62?jobsource=index_s
Reach for the ✯STAR✯－2024信邦儲訓計畫－儲備工程職系（運行維護工程師/數據分析工程師/施工監造工程師）,信邦電子股份有限公司,太陽能技術工程師、光電工程師、電機技師／工程師,35000,台南市學甲區大部分在南部，隨案場地點,"Join SINBON, Reach for the STAR!

你是否還在思索自己的職涯方向？你是否還在不同公司裡跌跌撞撞？
別擔心，信邦電子都幫你想好了！2024信邦電子儲訓計畫這就來了！

Successful career：不論是橫向或縱向，幫你追求想要的職涯發展
Training program：3個月培訓計畫，豐富專業知識讓你能力加成
Advancing salary：專案晉升與調薪機制，讓你薪資贏在起跑點
Reinforce proficiency：專屬的職涯導師關懷，做你最強的後盾

想要成為最亮的星，立馬投遞履歷把握難得機會！！

【運行維護工程師】
1. 運行維護所需設備導入與開發。
2. 下包商 : 運維工班開發＆管理。
3. 工務設備／資材管理。
4. 規劃太陽能案場清洗與巡檢排程。
5. 設備查修更換(模組、變流器)。

【數據分析工程師】
1. 案場發電數據分析。
2. 演算法開發。
3. 監控PV模組效能狀態，確認案場發電效率符合預估值。
4. 製作營運Dashboard ，提供數據洞察趨勢給管理團隊。
5. 現場/遠端判斷故障型態。

【施工監造工程師】
1. 太陽能系統工程施工監造：施工計劃書、監造日誌、完驗報告。
2. 下包商、工班開發＆管理。
3. 結案（with業助）v.s 成本預估。
4. 監造移交清冊。
5. 工務設備／資材管理。
6. 施工監造所需設備開發。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",不拘,不拘,不懼高(須爬屋頂，高空作業),https://www.104.com.tw/job/8bunu?jobsource=index_s
模具類-系統暨加工排程工程師,台灣穗高科技股份有限公司,生管、資料工程師、其他專案管理師,36500,台南市新市區大業一路5號,"1.模具加工及修改排程安排及確認交期
2.週報/月報相關資料整理
3.資料彙整及文件管理
4.工作環境維護",不拘,Excel、Outlook、PowerPoint、Word,文書處理軟體操作、簡報軟體操作、負責生產製程管制與調配, ,https://www.104.com.tw/job/851cg?jobsource=index_s
BI數據分析師,宏佳騰動力科技股份有限公司,數據分析師、資料工程師、市場調查／市場分析,45000,台南市山上區南洲里南洲41號,"1. 負責蒐集使用者的BI需求與分析
2. BI模板建立與規劃
3. BI報表規劃與設計
4. BI戰情中心構建
5. DW規劃、建置與資料處理
6. 系統文件撰寫
 ","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",不拘,不拘,"1. 具備數據分析及整合分析能力，善於溝通、協調與積極度高者
2. 對於數據敏感度高
3. 有製造業BI開發與管理經驗尤佳
4. 具團隊合作、有責任感、溝通能力良好",https://www.104.com.tw/job/8cezw?jobsource=index_s
【前瞻研究籌獲中心】多媒體資料工程師 (台南),國家資通安全研究院,演算法工程師、資安工程師、資料工程師,40000,台南市歸仁區,"1. 協助專案內容，研析影音資料處理技術。
2. 建構資料處理流程，統整資料、開源工具與開發自動化處理工具。
3. 導入多媒體相關內容反制與異常預警機制。
4. 其他主管交辦事項。

專業能力：
1. 具軟體開發、API、雲端服務、資料工程、大數據系統相關開發經驗尤佳。
2. 熟悉Python, Java, R, C++至少一種語言。
3. 具備基本資料分析、機器學習、影像處理知識。",不拘,C++、Java、Python,不拘,"1. 本院依身心障礙者權益保障法、原住民族工作權保障法及中高齡就業專法等，歡迎所有求職者投遞履歷。
2. 依據國家資通安全研究院人員安全查核辦法，本院人員須接受一般安全查核，若有下列情形之一者，為查核未通過，須無異議放棄錄取資格，若已到職應即離職，並願負相關法律責任：
(1) 動員戡亂時期終止後，曾犯內亂罪、外患罪，經有罪判決確定或通緝有案尚未結案。
(2) 曾服公務有貪污行為，經有罪判決確定或通緝有案尚未結案。
(3) 犯前二款以外之罪，判處有期徒刑以上之刑確定，尚未執行或執行未畢。但受緩刑宣告者，不在此限。
(4) 曾任公務員，受免除職務懲戒處分。
(5) 曾任公務員依法停止任用。
(6) 褫奪公權尚未復權。
(7) 大陸地區人民、香港及澳門居民在臺灣未設有戶籍，或設有戶籍未滿二十年。
(8) 受監護或輔助宣告，尚未撤銷。
(9) 係外國人，應經內政部移民署許可居留。",https://www.104.com.tw/job/840zm?jobsource=index_s
全端工程師,翔安生醫科技股份有限公司,全端工程師,40000,台南市新市區南科三路23號4樓之1C室,"1. 與韌體、硬體工程師協作，將裝置資料接收至後端系統並存入資料庫中。
2. 藉由 MLOps、AIOps 架構，搭配 Docker 容器化技術，與 AI 數據科學家協作，快速建置與佈署 AI 預警系統。
3. 建置可即時更新的網頁供使用者監控目標。
4. 撰寫系統架構文件、設計系統流程圖，並與商業團隊協作，提供技術文件。
5. 定期維護已運行之網站或系統。

AI 火紅的時代，卻缺少的反而是協助 AI 工程師佈署的後端、全端工程師，歡迎有意學習 AI 系統建置技術的同好應徵本職缺。",不拘,ASP.NET、C#、Python、HTML、JavaScript、jQuery、CSS、Node.js、Django,系統整合分析、軟體工程系統開發、軟體程式設計,"1. 優先考量熟悉 JavaScript 語言以及 Node.JS 後端框架者，次要考量語言與架構（例如：C# 及其 ASP.NET、Python 及其 Django 等）。
2. 優先考量熟悉 HTML、CSS、JavaScript 以及 Vue 前端架構，次要考量其他與前端程式或架構者。
3. 熟悉 MongoDB 或其他非結構化資料庫。
4. 熟悉 Docker 或其他容器化技術。
5. 如有技術文件撰寫經驗者佳，若無則會於職務期間教學。",https://www.104.com.tw/job/85q6y?jobsource=index_s
自動化工程師(機電/電控)_台南,GARMIN_台灣國際航電股份有限公司,自動控制工程師、生產技術／製程工程師、機電技師／工程師,40000,台南市新市區堤塘港路3號,"【部門說明】
自動化電控部門提供多元職涯發展與專長培養，成員由一群熱情、活力與專業的年輕工程師所組成，包含電機與機械等相關理工背景。

藉由整合各種工具與設備開發，達到產線生產需求以及優化生產效率。 在電控組部門主要工作為開發先進的製程技術、設計自動化生產設備與製造管理系統，會應用到機電光整合的知識、精密的感測器技術的技巧。

在這裡可以學習到: 
- 垂直整合完整的工廠流程，讓你一次在台灣了解工廠生態鏈 
- PLC韌體撰寫與機器手臂應用，實現工廠自動化 
- MCU韌體撰寫，培養技術專長 
- 結合大數據，邁向智慧製造 
- 與國外同事共同合作，拓展國際視野

【工作範圍】 
1. 電盤設計(工業配線)與電路設計(PCB layout)。 
2. 挑選適合控制元件、電子零件、感測器等等。 
3. PLC與HMI程式撰寫 或 Microcontroller程式撰寫 (擇一)。 
4. 透過PLC或Microcontroller控制自動化設備與生產流程以達到產線需求。 
5. 機械手臂程式撰寫，如：EPSON、YAMAHA、ABB等。 
6. 偕同機構、系統整合、資料科學、MES、製程等跨部門合作完成設備專案。 
7. 具有正面思考與團隊合作精神、能夠與很多團隊一起合作 
8. 對任何事物具備好奇心與責任感，樂於解決廠內製程設備難題與挑戰 
9. 滿足Garmin自動化設備需求，需海外支援。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,自動化系統設計整合,"***如欲應徵請投遞履歷至 Garmin官網https://www.garmin.com.tw/careers/jobs/，將優先審閱面試資格***

工作技能：
1. 工控設備配電盤規劃及機電整合實作經驗 ，具有工業配線、機電整合等證照尤佳 
2. 熟悉PLC (Mitsubishi、Keyence、Omron等)及人機介面(Hitech、Keyence、Pro-face)應用 
3. 熟悉微控制器 (Arduino、8051等)應用 
4. 各類控制元件(交直流馬達、滑台、空油壓、電磁閥、繼電器等)應用 
5. 機器手臂應用 
6. 電子電路設計與開發 
7. 熟悉電子組裝產業製程尤佳 
8. 程式撰寫, C, C++, PLC ladder
9. 有系統廠EE經驗者尤佳
10. TOEIC 650分以上佳 
11. 具有正面思考與團隊合作精神、能跨團隊合作 

至少具備下方其中兩項 
1. 熟悉工業機器人(EPSON/DENSO Robot)應用 
2. 熟悉各類控制元件、感應器原理及應用與工控設備配盤實作經驗 
3. 熟悉PLC及人機介面應用 (Mitsubishi、Keyence、Omron等)
4. 熟悉微控制器 (Arduino、8051等) 
                  
                      
**有跨廠區支援與海外出差需求
**無經驗可、三年以上經驗尤佳",https://www.104.com.tw/job/81vsn?jobsource=index_s
