職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
集團營運處 | 數據部 | 資料工程師 Data Engineer,歐悅國際股份有限公司,資料科學家、資料工程師、數據分析師,58500.0,新北市新莊區新北大道3段7號14樓之3 (距捷運新北產業園區站約170公尺),"【職務描述】

1. 統籌集團(財務/營運/管理...etc) 所有計量指標，從不同的數據庫、API中提取數據。
2. 收集數據，確保準確性和完整性，處理加載過程中的錯誤，以確保數據質量。
3. 與數據科學家、分析師和其他團隊成員合作，理解需求並提供支援。
4. 撰寫數據架構、轉換過程和相關文檔。

1. Coordinate and consolidate all key performance indicators (KPIs) across the group (finance, operations, management, etc.), extracting data from various databases and APIs.
2. Collect data, ensuring accuracy and completeness, and handle errors during the loading process to ensure data quality.
3. Collaborate with data scientists, analysts, and other team members to understand requirements and provide support.
4. Write documentation on data architecture, transformation processes, and related documents.

【人格特質】

1. 善於溝通的 : 與部門主管以及跨部門合作，給予同仁激勵與熱情。
2. 有責任感的 : 能夠認知和認同自己的責任，並將之付諸實行的行動和決心。
3. 具抗壓性的 : 積極面對工作上的各種挑戰，樂於與公司一同成長。
4. 獨立思考的 : 在資訊快速的狀態擁有自己獨立思考及判斷事物的能力。
5. 正直樂觀的 : 可以塑造良好且正向的公司文化，一同建立永續團隊。

1. Communication : Provide encouragement and enthusiasm to colleagues for department heads and cross-departmental cooperation.
2. Responsible : Actions and determinations to recognize and identify with one's own responsibilities and put them into practice.
3. Compressive : Actively face various challenges at work, willing to grow together with the company.
4. Independent thinking : In the state of fast information, have the ability to think and judge things independently.
5. Upright & optimistic : Can create a good and positive company culture and build a sustainable team together.",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/87ow4?jobsource=index_s
集團營運處 | 數據部 | 資料工程師 Data Engineer (組織擴張中),歐悅金融科技股份有限公司,資料科學家、資料工程師、數據分析師,58500.0,新北市新莊區新莊區新北大道3段7號14樓之3 (距捷運新北產業園區站約170公尺),"【職務描述】

1. 統籌集團(財務/營運/管理...etc) 所有計量指標，從不同的數據庫、API中提取數據。
2. 收集數據，確保準確性和完整性，處理加載過程中的錯誤，以確保數據質量。
3. 與數據科學家、分析師和其他團隊成員合作，理解需求並提供支援。
4. 撰寫數據架構、轉換過程和相關文檔。

1. Coordinate and consolidate all key performance indicators (KPIs) across the group (finance, operations, management, etc.), extracting data from various databases and APIs.
2. Collect data, ensuring accuracy and completeness, and handle errors during the loading process to ensure data quality.
3. Collaborate with data scientists, analysts, and other team members to understand requirements and provide support.
4. Write documentation on data architecture, transformation processes, and related documents.

【人格特質】

1. 善於溝通的 : 與部門主管以及跨部門合作，給予同仁激勵與熱情。
2. 有責任感的 : 能夠認知和認同自己的責任，並將之付諸實行的行動和決心。
3. 具抗壓性的 : 積極面對工作上的各種挑戰，樂於與公司一同成長。
4. 獨立思考的 : 在資訊快速的狀態擁有自己獨立思考及判斷事物的能力。
5. 正直樂觀的 : 可以塑造良好且正向的公司文化，一同建立永續團隊。

1. Communication : Provide encouragement and enthusiasm to colleagues for department heads and cross-departmental cooperation.
2. Responsible : Actions and determinations to recognize and identify with one's own responsibilities and put them into practice.
3. Compressive : Actively face various challenges at work, willing to grow together with the company.
4. Independent thinking : In the state of fast information, have the ability to think and judge things independently.
5. Upright & optimistic : Can create a good and positive company culture and build a sustainable team together.","[{'Language': '英文', 'Listen': '精通', 'Speak': '精通', 'Read': '精通', 'Write': '精通'}]",C#、Tableau、SAP,統計軟體操作、調查樣本統計分析、作業系統基本操作、結構化程式設計,"1. 知名軟體、互聯網、物聯網公司擔任過資料工程師。
2. 金融機構、資安公司執行過核心系統建置專案。
3. 熟悉 Bigquery、SAP、Salesforce 等資料中介倉儲以及 Tableau、Data studio 等資料視覺化工具。",https://www.104.com.tw/job/867hs?jobsource=index_s
數據工程師（底薪＋獎金）,睿思創新股份有限公司,資料工程師、資料科學家、數據分析師,85000.0,新北市板橋區介壽街84巷23號 (距捷運板新站約500公尺),"//公司快速擴張中，需要你/妳的加入一起成長

「睿思創新」榮獲種子輪、天使輪創投資金挹注，目前正積極推廣主力產品 CROSSBOT AI 落地應用平台。

職務內容說明如下：

【主要任務】
1. 與資料科學家、雲端架構師、資料分析師、PM密切合作, 提供客戶高質量的雲端數據相關服務。 
2. 負責協助客戶整合、設計、部署大數據處理流程與平臺，設計數據流程 (Data Pipeline)從資料庫、API中取得及彙整資料。
3. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲。
4. 資料 ETL 流程自動化規劃、設計、開發與監控維護。

【工作內容】
1. 數據模型 (Data Schema) 設計
    (1) 與團隊合作設計DB/Table Schema和Data Schema。
    (2) 有處理各類結構化/半結構化/非結構化數據和串流數據的經驗者優先。
2.數據處理和流程開發
   (1)Data ETL (Extracting/Transforming/Loading) 開發ETL流程，用於數據收集、清洗、處理、存儲和分析。
   (2) 開發數據整合流程，包括建立可擴展的數據流程和建立數據服務/數據 APIs。
   (3)透過優化數據處理流程，建立數據處理自動化和監控機制。

【必要條件】
1. 具備基礎 SQL 及 Python 程式處理能力。
2. ETL 排程工具開發經驗，如：Dataflow、等。
3. 熟悉雲端環境，如：GCP、Azure、AWS等。
4. 樂於學習新技術，積極肯做的工作態度。
5. 具備Git 版控使用經驗。
6. Docker or Kubernetes 使用經驗。
7. 2~3 年相關經驗。

【加分條件】
1. 具備 BigQuery、RDBMS、MySQL、NoSQL 使用經驗。
2. 具備爬蟲相關經驗。
3. 熟悉 Restful API。
4. 熟悉 Power BI、Tableau、Google Analytics。",不拘,Github、Git、Python、ETL、MySQL、PostgreSQL、RDBMS、AWS、Tableau、Google Analytics、Google Tag Manager、Google Data Studio、Power BI,資料備份與復原、系統架構規劃、系統整合分析、軟體工程系統開發、軟體程式設計、結構化程式設計、模組化系統設計、資料庫系統管理維護、資料庫程式設計、資料庫軟體應用,"1.有碩士或以上學歷，專業領域為資訊工程、計算機科學、統計學等相關領域。
2.有3年以上的大數據資料處理和分析經驗，熟悉Hadoop、Spark、Flink等相關技術。
3.熟悉NoSQL資料庫，熟悉DW框架，如Hive或Presto等。
4.熟悉Python等程式語言，熟悉Shell Script/PowerShell/Bash等基本操作。
5.熟悉AWS或GCP等雲端平臺操作經驗，熟悉Git等版本控制系統。
6.瞭解大數據架構和概念，熟悉資料處理和分析相關知識。",https://www.104.com.tw/job/8943y?jobsource=index_s
大數據工程師,海華科技股份有限公司,軟體工程師、MES工程師、演算法工程師,40000.0,新北市新店區寶中路94號10樓,"1.執行生產製造相關資料獲取、建模、分析、預測、視覺化等，協助提高生產效率
2.日常分析報表改善與維護
3.協助推動與導入工業5.0智慧製造專案
4.理解業務部門的需求，從繁複大量的資料中抓取關鍵資訊，支援業務部門做進一步Data-driven decision
5.協助建置大數據分散式系統
6.理解SPC並協助廠區進行蒐集、整理與分析數據，從中挖掘有效的洞察","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、Oracle、PL/SQL、Tableau、Power BI,系統整合分析、軟體程式設計、Machine Learning,"1.擅長與DBA團隊協作溝通，處理智慧製造相關 BigData 資料蒐集、整理、儲存流程等程式系統開發
2.協助開發資料分析介面 Data Visualization
3.數據介接、清洗、處理的流程設計開發與維護
4.具備 SQL的開發經驗
5.具備 R 或 Python的開發經驗
6.熟悉 Git 版控模式與工具
7.精通統計領域知識，負責大數據分析相關規劃與執行，並有數據分析相關經驗
Nice To Have Skills ＆ Experience 
* Familiar with Tableau, Linux, Hadoop, Spark, Kafka, Hive
* Experience of Probability, Statistics, Machine Learning, Deep Learning, Data Mining, Predictive Model...etc",https://www.104.com.tw/job/7rboq?jobsource=index_s
數據工程師 Data Engineer(大數據發展事業處),55688集團_台灣智慧生活網股份有限公司,統計學研究員、市場調查／市場分析、其他資訊專業人員,40000.0,新北市三重區重新路五段609巷2號7樓之1 (距捷運先嗇宮站約320公尺),"1. 雲端的資料倉儲系統規劃、設計與效能監控管理、優化作業。
2. 進行數據提取關聯型與非關聯型數據庫、轉換和載入操作，以及數據清理和預處理等各項ETL流程設計及客製化程式開發作業。
3. 撰寫 MS SQL、Big Query資料庫物件 store procedure語法等ETL開發工具。
4. 地端資料 prep 上傳雲端資料庫之流程開發。
5. Tableau 資料源建立、Extract 流程設定。
6. 第三方外部資料介接 API開發。
7. ETL問題追蹤管理及系統文件撰寫。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",Python、MS SQL、Tableau,不拘,"[職能要求] : 
1. 資訊/統計/應用數學相關科系畢
2. 具數據ETL設計開發經驗，有使用procedure開發經驗,具備資料倉儲/資料庫知識
3. 熟悉MS SQL、python、Tableau server、Google Cloud Platform
4. Tableau server 資料數據源串接經驗
5. 對於數據的清理必須有耐心、細心、邏輯性；程式撰寫重視可讀性、效能、安全性
6. 良好的溝通和協作技能，能夠與不同職能的團隊成員合作

【加分項目】 
1. 會撰寫 power shell script佳
2. 熟悉 Git 與團隊協作中的程式碼版本控制",https://www.104.com.tw/job/88nn6?jobsource=index_s
【RD】資料工程師(Data Engineer),科林儀器股份有限公司,資料工程師、軟體工程師、後端工程師,40000.0,新北市中和區中和路366號13樓 (近捷運永安市場站) (距捷運永安市場站約60公尺),"我們專注於集團內的數據分析與應用 (醫療、銷售、財務 ... 等)，為集團提供整體的營運方向、風險評估及軟體產品的加值應用，提升數據應用的價值。
我們現在正在尋找專業的資料工程師，以協助我們推動醫療數據領域的創新工作。
您將負責開發、維護及優化我們的數據基礎設施，確保我們能有效並準確的處理龐大的數據。

[主要職責]
1. 設計、建立和維護數據系統，以支持大數據存儲和分析。
2. 開發和維護數據流程，以確保數據的品質和及時性。
3. 協助各經營管理團隊，確保數據的可用性。
4. 優化數據系統性能、並進行查詢優化。
5. 與軟體工程師、業務部門合作，確保數據滿足需求。
6. 負責數據安全和隱私，實施合適的數據保護措施。

[必要技能]
1. 熟悉 Python 、Scala 或 Node.js 任一種語言
2. 熟悉 SQL 語言
3. 熟悉任一種關聯式資料庫 (PostgreSQL、MySQL、MSSQL、Oracle ... 等)
4. 熟悉任一種 NoSQL (MongoDB、Cassandra ... 等)
5. 熟悉任一種 ETL 框架

[加分但非必要技能]
1. 熟悉任一種 Big Data 系統 (Spark、Hadoop ... 等)
2. 熟悉任一種 Machine learning framework (PyTorch、TensorFlow ... 等)

[團隊價值觀]
1. 注重團隊合作，同伴間互相協助
2. 自主學習，並能接受新技術的使用
3. 主動溝通，隨時表達自己的想法或工作上遇到的困難",不拘,不拘,不拘,未填寫,https://www.104.com.tw/job/875ct?jobsource=index_s
AI 數據工程師_7187,技嘉科技股份有限公司,AI工程師,40000.0,新北市新店區北新路三段221號5樓 (距捷運大坪林站約340公尺),"1. 依據需求制訂資料格式，與需求單位溝通協調收集方法與進度追蹤
2. 針對收集到的資料做資料清理、特徵工程
3. 模型訓練與驗證","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}, {'Language': '中文', 'Listen': '精通', 'Speak': '精通', 'Read': '精通', 'Write': '精通'}]",Linux、Python,不拘,"1. 熟悉 Linux、Python
2. 熟悉 Pandas, Numpy, Sklearn, Tensorflow, Pytorch等模組
3. 具SQL、noSQL資料庫程式開發經驗
4. 具訓練深度學習模型經驗
5. 具備良好溝通能力",https://www.104.com.tw/job/8bb2x?jobsource=index_s
【工程部】大數據工程師 Big Data Engineer,全曜財經資訊股份有限公司,軟體工程師、資料庫管理人員,40000.0,新北市板橋區文化路一段266號10樓 (距捷運新埔站約410公尺),"At CMoney, our mission is to assist people in their lifelong investment. To this end, we have already launched several services and apps to help users make decisions on different matters. CMoney has the most popular stock mobile app and stock forum in Taiwan. So far our stock forum has had more than 450k monthly active users, and all of our products have had almost 3 million monthly active users. Everyday more than 100k articles and messages emerge from our apps and forum. Meanwhile, we collaborate with 50+ investment KOLs to help users succeed in investment. Currently, CMoney is at the fast-growing stage, and thus we are looking for brilliant talents to join our team, especially the ones with integrity, high social interest and a growing mindset. For more detail of CMoney, please refer to the following link: https://cmy.tw/00BWhP.

Our Big Data team focuses on implementing the business intelligence platform to support multiple internal partner teams to meet their operational needs. We are responsible for establishing processes for continual improvement, crafting data and reporting solutions at large scale. Our mission is to keep our business running optimally while maintaining a balanced application environment.

As a member of the Big Data team, you will build and own mission-critical data pipelines as well as modern data warehouse solutions while collaborating closely with Data Science, Marketing, and Product teams.

You will be a part of an early stage team and have a significant stake in defining its future with a considerable potential to impact all of CMoney's revenue and millions of users. Your efforts will reveal invaluable business and user insights to fuel revenue by leveraging vast amounts of data.",不拘,hadoop,不拘,"Required:
B.S. and/or M.S. in Computer Science or related field
Broad knowledge of the data infrastructure ecosystem
Experience with Hadoop or other MapReduce-based architectures
Good understanding of one or more of the following programming languages:
Python, Scala, C++, or Java

Desirable: 
Experience working with large data volumes
Experience writing Big Data pipelines, as well as custom or structured ETL, 
implementation and maintenance
Experience with large-scale data warehousing architecture and data modeling
Experience with Druid or Apache Flink
Experience with real-time streaming (Apache Kafka, Apache Beam, Heron, Spark 
Streaming)
Ability in managing and communicating data warehouse project plans to internal 
clients",https://www.104.com.tw/job/7dl67?jobsource=index_s
資深數據工程師 Senior Data Engineer,遠東集團HAPPY GO_鼎鼎聯合行銷股份有限公司,其他資訊專業人員、軟體工程師、演算法工程師,40000.0,新北市板橋區板橋區新站路大遠百旁Mega百揚大樓,"Happy Go擁有超過1,000萬實名卡友，透過在全台數萬個實體與虛擬通路中的活動，交織出龐大的行為數據。
將這些大數據以Data Science及AI的技術，進行分析、應用，進而驅動決策，為卡友帶來更多快樂的體驗，是Happy Go一路以來在數據上的發展方向。
歡迎對於大數據處理分析、Data Science及AI有熱忱，想利用數據來打造職涯藍圖的人才加入我們!

工作內容:
1.協助資料倉儲、數據中台、ETL的開發及管理。
2.與業務團隊溝通合作，利用BI、CDP工具協助驅動行銷與決策。
3.規劃、設計、應用各雲端平台的Cloud Service，打造數據應用環境。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、ETL、MS SQL、AWS、Tableau,不拘,"1.具備三年以上資料倉儲、ETL、BI等相關開發維運經驗.
2.熟悉SQL、Python
3.具BI Tools (Tableau or Qlik為佳)使用、設計或管理經驗
4.具雲端(AWS/Azure)環境、工具開發或使用經驗
5.對AI相關技術之開發或使用有興趣
6.主動、積極、負責，良好的溝通協調能力",https://www.104.com.tw/job/7q2h4?jobsource=index_s
數據工程師(大數據),東森購物_電視購物_東森得易購股份有限公司,其他資訊專業人員、演算法工程師,40000.0,新北市中和區景平路258號1樓(恕不接受郵寄) (距捷運景平站約130公尺),"1.進行各類資料串接、爬取，以擴充及完善資料倉儲
2.規劃、設計、開發自動化ETL流程與監控維護機制
3.調研及建置自動化機器學習機制",不拘,不拘,不拘,"1.有二年以上Python和SQL開發經驗，並熟悉網路爬蟲技能。
2.有關聯式及NoSQL資料庫使用及管理經驗。
3.有ETL及數據視覺化開發經驗。
4.有Shell Script開發經驗，並熟悉Linux作業環境。
5.有RESTful API串接與開發經驗。
6.有Cloud Platform使用經驗(Azure尤佳)。
加分技能
- 曾有機器學習開發經驗。
- 曾有CI/CD相關工具使用經驗(Jenkins、GitLab)。
- 曾有容器虛擬化相關技術使用經驗(Docker、Kubernetes)。",https://www.104.com.tw/job/7od88?jobsource=index_s
