職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
數據分析工程師,瀚源生醫股份有限公司,軟體工程師、數據分析師、資料工程師,40000.0,新竹縣竹北市生醫路二段2號3樓R307室,"1. 建立數據處理、數據分析的方法、擬定分析流程、撰寫分析程式
2. 實際進行實驗的數據分析工作
3. 數據庫建立與維護
4. 大數據的分析
5.     完成主管交辦事項","[{'Language': '英文', 'Listen': '精通', 'Speak': '精通', 'Read': '精通', 'Write': '精通'}]",Matlab、Python,軟體工程系統開發、資料庫軟體應用,"具備以下條件佳
熟統計工具
熟生物數據處理與分析
熟半導體電性處理與分析
熟資料庫
Deep learning, machine learning",https://www.104.com.tw/job/7gukh?jobsource=index_s
大數據運維工程師,盟佳科技股份有限公司,資料科學家、雲端工程師、資料工程師,40000.0,新竹市忠孝路440號11樓之1,"1. 負責當地語系化項目的運維實施工作；
2. 負責日常應用系統發佈及大資料平臺的穩定性保障工作；
3. 負責推進專案順利進展並及時回應客戶的需求。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",不拘,不拘,"1、非常熟悉linux系統，能夠獨立完成基礎運維工作；
2、 熟練掌握shell，python等指令碼語言者優先；
3、 熟悉微服務、k8s、docker，有運維自動化、監控系統等開發經驗者優先；
4、熟悉hadoop、cassandra、doris等大資料技術者優先。
5、 具備良好地溝通與表達能力，邏輯思維能力強，良好的溝通能力與團隊合作精神。
6、有客戶現場維護經驗者並能根據安排小範圍出差者優先",https://www.104.com.tw/job/8agr2?jobsource=index_s
工研院材化所_數據處理工程師(I800),工研院 _財團法人工業技術研究院,資料工程師、數據分析師、演算法工程師,40000.0,新竹縣竹東鎮中興路四段195號,"【工作內容】
1.感測模組數據擷取與處理
2.整合或測試開發之感測模組性能
3.特定感測演算法開發
4.使用者介面開發

【亮點技術】
1.全方位壓電材料性能及應用技術
2.感測元件與模組應用技術

【工研院材化所~熱情招募中】
我們擁有充足的研發資源，打造菁英研發環境，鼓勵創新求變，豐富技術視野
熱情邀請具材料/化學/化工/電機/AI等專業能力的你加入，展開研發菁英旅程

#綠色科技 #淨零碳排 #永續環境","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Python、LabVIEW,不拘,"1.具2年以上自動控制、機電整合、電腦工程、軟體設計相關工作經驗
2.具備自我要求與砥勵、個性正直、團體合作的人格特質
3.請檢附相當於TOEIC 650分之英語測驗成績證明，如無法提供，將安排參加本院英文檢測
4.具海外學經歷背景優先進用

***歡迎使用雲端面談錄影***
簡單回答幾個問題，讓我們快速的認識你，增加面談機會喔！
https://app.hrda.pro/s/i/tE0Bho",https://www.104.com.tw/job/8bkt3?jobsource=index_s
資料工程師,宇清數位智慧股份有限公司,軟體工程師、資料庫管理人員、其他資訊專業人員,40000.0,新竹市東區金山七街1號6樓,"【我們希望您具備經驗跟特質】
 1. 對任何與數據有關的事物有極大的熱情
 2. 主動性高、能適應變化快速的技術與環境、愛好自我學習、探索與分享新知識
 3. 良好的溝通、表達、協同合作能力、邏輯與理解力強，可以配合任務出差
 4. 熟悉 SQL 與關聯式資料庫使用經驗。例如PostgreSQL，Oracle
 5. 有IE、半導體生產相關領域知識者佳
 【工作內容】
 1. 了解產品功能並能針對需求結構化資料庫設計
 2. 與客戶對接資料，快速理解領域知識並能精準的完成需求
 3. 負責產品資料處理、資料架構開發、維護以及監控機制
 4. 協助專案產品的導入與開發、以及相關的推廣與後續維護
 5. 與演算法工程師及專案經理合作，依專案需求整合資料格式",不拘,MS SQL、MySQL、Oracle、PL/SQL、PostgreSQL,資料庫系統管理維護、資料庫程式設計、資料庫軟體應用、MES工廠執行系統規劃管理,未填寫,https://www.104.com.tw/job/76kp9?jobsource=index_s
軟體工程師,信音企業股份有限公司,軟體工程師、軟體助理工程師、資料工程師,40000.0,新竹縣湖口鄉中正路二段209號(303),"軟體工程師業務內容如下：
1.熟悉C#軟體開發
2.基本SQL語法指令
3.其他主管交辦事項",不拘,PL/SQL、鼎新,軟體程式設計,具Java Script、HTML5開發經驗者尤佳,https://www.104.com.tw/job/7w7am?jobsource=index_s
AI Data Engineer_AI資料工程師(AG0010),凌陽科技股份有限公司,工程助理,40000.0,新竹市創新一路19號(300),"(*號代表工作內容比例)
1. ****分析專案需求，規劃資料收集流程(Data collection pipeline)
2. ****建置資料收集實驗室與程序(Lab setup and programming)
3. **資料分析，進行自動化資料產出與標記 (Auto labeling)
4. **接受機器學習與深度學習訓練
5. **輕量化AI算法專案開發
6. *前沿AI技術研究

【專業要求】
1. 【MUST】須具備資料收集相關經驗
2. 實作數據處理 (ETL) \ 數據分析專案
3. 孰悉至少一種AI建模框架：Tensorflow, Keras, Pytorch, PaddlePaddle, etc
4. 積極、配合度高，具分析解決問題以及溝通能力
5. 規劃自動化資料處理",不拘,不拘,不拘,"【加分選項】
1. 10頁內ppt，展示專案經歷與基礎簡報能力
2. 資料收集經驗分享(Lesson learn)
3. 統計建模、機器學習，深度學習(相關作品)",https://www.104.com.tw/job/7b7r6?jobsource=index_s
資訊工程師,錸德科技股份有限公司(錸德集團),系統工程師、資料工程師,40000.0,新竹縣湖口鄉光復北路42號(303),"1. Notes/ERP 系統資料庫整合及表單系統維護
2. 熟練 Linux 系統操作，能夠進行伺服器的佈署、管理和維護
3. 孰悉 Java、C#或Python 程式語言尤佳
4. 對 AI 機器學習相關開發有興趣者尤佳(無經驗可)
5. 兩年以上相關工作經驗",不拘,C#、Java、Python,不拘,未填寫,https://www.104.com.tw/job/8cthx?jobsource=index_s
研發替代役_工研院服科中心_醫療資訊平台開發工程師(H100),工研院 _財團法人工業技術研究院,數據分析師、軟體工程師、資料工程師,40000.0,新竹縣竹東鎮中興路四段195號52館,"雲端醫療健康資訊平台開發，資料分析與創新應用網頁程式撰寫，FHIR,DICOM資料整合介接",不拘,不拘,不拘,"電子、電機、資工、資科、醫資等相關科系，熟悉JAVA,Python程式撰寫，具DICOM/FHIR相關證照尤佳。需檢附英文測驗成績(相當於TOECI 650分之英語測驗成績證明)如無法提供，將安排參加本院英文檢測。",https://www.104.com.tw/job/84vw5?jobsource=index_s
生成式 AI 巨量資料分析師,聆機科技股份有限公司,數據分析師、資料工程師、資料科學家,40000.0,新竹市陽明交通大學 創新創業中心 學府館,"1. 與外部領域專家與客戶協作，管理多重生成式 AI 助理產生的AIGC數據，提供檢索、分類、報告與洞察。
2. 開發和建立雲端數據庫，設計回饋系統及其他改善效率和分析品質的策略。
3. 管理數據來源與安全性，並符合 AI 監管法規, 個資法規與企業數據治理原則。
4. 本項工作接受兼職或專案合作.","[{'Language': '英文', 'Listen': '精通', 'Speak': '中等', 'Read': '精通', 'Write': '精通'}]",Java、Python、ETL、MS SQL、XML、Excel、SAS、SPSS,調查樣本統計分析、Machine Learning、資料庫程式設計、資料庫軟體應用,"1. 具生成式人工智慧 (Generative AI) 的跨領域應用概念.
2. 具ChatGPT, Gemini, Anthropic 等 GAI 的提示工程 (prompt engineering) 能力, 且能建立GPT assistant 者尤佳.",https://www.104.com.tw/job/8asj4?jobsource=index_s
【智慧製造】資深資料工程師,台灣光罩股份有限公司,資料庫管理人員、系統工程師、系統分析師,40000.0,新竹市新竹科學園區創新一路11號,"1.資料庫規劃、備分、轉移、效能監控與管理
2.Data warehouse / Data Mart 結構設計
3.Data lake 建置/管理
4.雲端資料庫設計 Azure/Google
5.配合任務需求進行專案分析與設計",不拘,Linux、MS SQL,不拘,"1.熟悉 MS SQL 管理維護經驗
2.具備 SQL 大數據處理經驗
3.具備 NOSQL 建置經驗
4.熟悉Linux 作業環境
5具備良好學習態度，有強烈企圖心與工作熱忱
6.具有責任感、良好溝通協調能力
7.具備獨立作業與邏輯分析能力",https://www.104.com.tw/job/809vx?jobsource=index_s
