職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
數據分析工程師,錼創顯示科技股份有限公司,數據分析師、系統分析師、資料工程師,40000,苗栗縣竹南鎮科中路13號（新竹科學園區竹南園區）,"一、對數據分析及程式撰寫有強烈熱誠，能將資料轉化為資訊。
二、具資料結構，資料探勘，資料分析實務經驗，具基礎程式能⼒。
三、能善⽤⾃動化的⽅法處理資料，並熟悉⼤量資料處理與分析，使數據分析與應⽤產品化。
四、提供站內需求對應座標及良率分割。
五、其他主管交辦事項。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"【需具備以下專業知識與技能】
一、瞭解Data Warehouse及⼤數據基本概念者佳。
二、具備操作各類程式應用，可數據分析及產出對應相關座標Python、R、MS SQL。",https://www.104.com.tw/job/8a6xh?jobsource=index_s
【校園徵才-暑期/學期實習】資料分析工程師,Phison Electronics Corp_群聯電子股份有限公司,AI工程師、資料科學家、資料工程師,43735,苗栗縣竹南鎮群義路1號,"1.負責DataLake資料流開發
2.負責相關內外部單位實驗需求
3.負責數據分析提供Insight，可能的異常或關聯性
4.藉由量化數據提供演算法、模型或實驗方向的建議
5.負責Tableau圖表開發
6.大數據相關專案開發","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",Python,不拘,熟悉Python、SQL、Statistic、Machine Learning、Deep Learning、Tableau、NLP、Docker、NiFi、AirByte、ByteBase者尤佳,https://www.104.com.tw/job/8azsw?jobsource=index_s
EDA/CAD資訊工程師,Phison Electronics Corp_群聯電子股份有限公司,軟體工程師、資料工程師、CAD／CAM工程師,40000,苗栗縣竹南鎮群義路1號,"1. Web AP System Development (ASP.Net C# & MVC Architecture)
2. Database Management & Troubleshooting
3. Web Server Management & Troubleshooting
4. Flow Control System Management
5. Linux Automatic Program Development (Python, Shell Script)
6. CAD Support Tools Development (Python)
7. IBM LSF Management & Troubleshooting
8. EDA & License Management & Troubleshooting
9. SVN Service Management & Troubleshooting
10. Zabbix Server Management & Troubleshooting
11. Linux Environment Management & Troubleshooting
12. Execute tasks given by the supervisor.","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",ASP.NET、Python、Database Administrator、Database Management、HTML、JavaScript、XML Web services、jQuery、CSS,系統架構規劃、系統整合分析、軟體程式設計、資料庫系統管理維護、資料庫程式設計,"1.面試需附歷年工作成果簡報資料.
2.熟悉MVC、 HTML5、Bootstrap等工具尤佳.",https://www.104.com.tw/job/85ksn?jobsource=index_s
【校園徵才-暑期/學期實習】數據分析與軟體設計工程師(竹南/台南),Phison Electronics Corp_群聯電子股份有限公司,軟體工程師、韌體工程師,43735,苗栗縣竹南鎮群義路1號,"1. 韌體驗證自動化與大數據分析。
2. 演算法設計與效能優化。
3. 程式碼分析與設計輔助軟體。

※可配合課表需求彈性排班",不拘,C、Python,不拘,"1.大學以上在學學生，碩士生尤佳。
2.熟悉Python、資料結構與演算法。
3.具備C語言、數據分析或軟體工程等專長能力者尤佳。",https://www.104.com.tw/job/7qdth?jobsource=index_s
智慧製造工程師,華夏海灣塑膠股份有限公司,AI工程師、數據分析師,40000,苗栗縣頭份市民族路571號,"1.智慧製造工程師將學習領先人工智慧製造技術
2.大數據分析、提升生產製造效率
3.機器學習","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,資料庫軟體應用,未填寫,https://www.104.com.tw/job/8bf33?jobsource=index_s
數據分析工程師－工作地點：苗栗市－太陽能系統整合事業處,信邦電子股份有限公司,市場調查／市場分析、系統分析師,40000,苗栗縣苗栗市中華路889號,"【工作說明】
1.案場發電數據分析
2.演算法開發
3.監控PV模組效能狀態，確認案場發電效率符合預估值。
4.製作營運Dashboard ，提供數據洞察趨勢給管理團隊。
5.現場/遠端判斷故障型態。
6.完成主管交辦事項

【必備條件】
1.熟悉Python Django/Flask
2.熟悉SQL語法
3.具AWS佈署能力
4.具基礎電力相關知識尤佳。
5.網通與弱電相關知識尤佳。
6.熟悉Microsoft office相關軟體操作

【聯絡我們】
若有任何問題，歡迎加入line好友直接與我們聯繫唷！
點選：https://lin.ee/HtJQkfn",不拘,不拘,不拘, ,https://www.104.com.tw/job/7nyhm?jobsource=index_s
測試外包管理工程師,Phison Electronics Corp_群聯電子股份有限公司,生產技術／製程工程師、IC封裝／測試工程師,44500,苗栗縣竹南鎮群義路1號,"1.執行外包測試廠的工程稽核。
2.擔任對外包測試廠工程專案與事務整合管理窗口。
3.量產作業問題解析與生產效率提升。
4.新測試技術開發與導入。
5.跨部門測試專案改善&規劃","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '中等', 'Write': '略懂'}]",Excel、Outlook、PowerPoint、Word,文書處理軟體操作、簡報軟體操作,"1. 熟悉測試廠生產作業流程。
2. 有獨立作業能力。
3. 具備簡報能力、態度主動積極，有良好溝通協調能力與團隊合作特質。
4. 具有數據演算分析能力或產品工程師經歷者佳。",https://www.104.com.tw/job/396pw?jobsource=index_s
國衛院「AI生醫資訊創新研究暨應用服務中心」誠徵研究助理,財團法人國家衛生研究院,數據分析師、AI工程師、資料科學家,34000,苗栗縣竹南鎮,"國衛院「AI生醫資訊創新研究暨應用服務中心」為與華碩、NVIDIA三方合作計畫，建置大型AIHPC，提升國內生醫AI運算量能，共提供院內及院外生醫大數據AI分析。

工作內容：
1. 訓練大語言模型，進行生醫相關研究
2. 協助技術服務組，提供AI技術諮詢及支援
3. 處理及分析次世代定序NGS資料

應徵條件：
1.資訊或統計相關系所大學以上學歷，有生物資訊背景者佳
2. 對生醫大數據研究有興趣，有機器學習或類神經網路相關經驗者佳
3. 熟悉R或Python

工作待遇：
學士34000以上，碩士39000以上，依能力及經驗做調整",不拘,Python、R,不拘,未填寫,https://www.104.com.tw/job/7mv7z?jobsource=index_s
助理工程師,義為股份有限公司,助理工程師、工程助理,38000,苗栗縣頭份市工業路15號,"1. 協助工程師執行實驗與紀錄。
2. 依照生產排程，支援生產製程設備操作。
3. 設備資料定期備份。
4. 收集機台監控數據，整理成報表。
5. 記錄製程異常事件，整理成異常報告。
6. 模組文件檢查更新。
7. 其他主管交辦事項。","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 測試片數據收集與分析整理。
2. 需在無塵室作業 (等級: class 1000)。
2024Career",https://www.104.com.tw/job/82uu5?jobsource=index_s
工程資訊分析工程師,錼創顯示科技股份有限公司,統計學研究員、演算法工程師、數據分析師,40000,苗栗縣竹南鎮科中路13號（新竹科學園區竹南園區）,"1. 開發工程運算類相關系統
2. 整合分析製程資料，並使其達到資訊自動化。
3. 利用機器學習演算法建模，並從中identify defects，可供相關單位進行決策與改善。
4. 協助建立APC/EDA系統。
5. 跨部門合作溝通
6. 主管交辦任務。","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Linux、Python、Oracle、PostgreSQL,不拘,"1.Python程式語言(Pandas/Numpy等統計函數)
2.資料處理能力與分析能力
3.熟悉資料庫查詢與表單建置(Oracle/My SQL/PostgreSQL)
4.Linux環境熟悉
5.統計相關知識
6.統計方法相關知識",https://www.104.com.tw/job/7j27v?jobsource=index_s
