職缺標題,公司名稱,職務類別,工作待遇,上班地點,工作內容,語文條件,擅長工具要求,工作技能,其他條件,職缺網址
【GenApe生成猿】資料科學家、資料工程師、數據分析師（Data Analyst & Engineer）,玩構網路科技有限公司,資料科學家、資料工程師、數據分析師,56000,高雄市楠梓區,"關於玩構 https://www.iwangoweb.com/about/
GenApe生成猿 https://app.genape.ai/?tag=104

**亞灣雲平台微軟新創加速器 113年入選團隊**
新聞稿 https://news.microsoft.com/zh-tw/ms-startups/

【工作內容】
1. 使用者大數據研究
2. 推薦系統、使用者分群、重要事件預測
3. 資料科學、ETL工程

【工作要求】
1. 熟悉 Python / 任一ML模型
2. 熟悉版本控制
3. 熟悉關聯式資料庫
4. **負責任、積極的態度**
5. 善於溝通，重團隊合作

【加分條件】
1. 有數據分析、資料工程相關經驗
2. 具備成長心態，喜歡不斷面臨挑戰

【公司福利】
1、符合勞健保，假勤優於勞基法
2、見紅就休，服務滿一年有彈休
3、外縣市租屋補貼最高6個月
4、不定期聚餐、下午茶
5、辦公室備有零食櫃、茶包、冰箱、電鍋
6、優於同業調薪幅度、子公司配股認股

來玩構可接觸各領域、學習最新技術
若您對人工智慧、雲端大數據有興趣及熱情
歡迎您的加入，我們一起成長！","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",Linux、Github、Git、C、C#、C++、PHP、Python、MySQL、PostgreSQL、AWS,不拘,1.若有作品集或作品網址請附上,https://www.104.com.tw/job/8bke5?jobsource=index_s
"【數位驅動】雲端數據工程師(數數發中心, DDT)(高雄)",國泰世華商業銀行股份有限公司_人力資源部,軟體工程師、資料庫管理人員,40000,高雄市前鎮區,"1. 參與雲端數據架構發展規劃，設計資料處理、儲存、分析架構，以符合數據科學、數據分析、行銷應用等發展   
2. 負責地端數據轉換雲端ETL Pipeline開發與維護、DevOps開發與維護   
3. 負責雲端數據平台穩定及架構精進，以利數據應用發展   
4. 負責監控/問題解決/維運升級 雲端數據應用服務平台   
5. 數據應用相關API開發     
6. 到職第一年原則上需於總行(台北市信義區)出勤，實際可依個人情況討論
 ","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",不拘,不拘,"專業要求: (硬實力)    
  1. 熟悉結構與非結構化資料之處理、儲存、分析等作業            
  2. 具資料庫、資料倉儲使用與Data pipeline/ETL/ELT 設計、開發與維運經驗            
  3. 具AWS/GCP/Azure雲端服務開發應用、佈署經驗            
  4. 熟悉Python程式開發            
  5. 具Linux系統操作經驗            
職能特質:(軟實力)    
  1. 具有雲端資料倉儲(Redshift/BigQuery)經驗尤佳
  2. 具有ETL Pipeline與排程工具(Airflow/Trinity)的使用及維護經驗尤佳            
  3. 具有Hadoop、Spark開發經驗尤佳            
  4. 具有軟體版控系統(Git/Azure DevOps)使用經驗尤佳
_________________________________________
持有「數位人才探索計畫」相關證照申請者有優先面試機會（Google Cloud 學程，詳情請洽Google 數位人才探索計畫網站）",https://www.104.com.tw/job/7sf4c?jobsource=index_s
(045)【高雄軟體研發中心專區】-【新幹班】- 數據工程師,鴻海精密工業股份有限公司,系統分析師、軟體工程師、其他資訊專業人員,40000,高雄市前鎮區高軟,"1. AI 端對端數據流分析設計，建立持續整合、交付、布署機制，內外數據流議題與知識管控 
2. AI底層平台建立，包含容器管理、靈活調用資源、知識工程導向資料庫","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 具備數據集進行數據挖掘/索引的經驗
2. 熟練掌握軟件開發實踐，包括設計、估算、開發、程式碼審查和自動化佈署測試
3. 富有創造力、合作精神和專注於專案目標
4. 能夠自信地介紹研究成果，能夠與其他團隊有效溝通合作，並清晰地傳達工作內容
5. 優秀的書面和口頭溝通能力，能夠自信地向大型觀眾介紹研究成果",https://www.104.com.tw/job/81ecv?jobsource=index_s
(053)【高雄軟體研發中心專區】-【新幹班】- 數據工程師,鴻海精密工業股份有限公司,軟體工程師、演算法工程師、其他資訊專業人員,40000,高雄市前鎮區高軟,"1. 數據治理實施，包括資料模型、資料定義、元數據、資料品質等
2. 建構數據工作流(Data Pipeline)、導入數據工程自動化和敏捷實踐(DataOps)
3. 熟悉數據架構規劃、數據源開發、數據蒐集與處理、數據探勘與加值
4. 數據建模 : 依主題挑選適當模型方法與參數處理進行多類型建模與冠軍模型挑選，與商業分析師合作進行統計分析模型及最佳化的研究與開發
5. 視覺化應用 : 善用視覺化工具(PowerBI)溝通特徵值與模型分析結果","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 具備1年以上 ML/DL 的開發經驗，熟悉區塊鏈(Blockchain)或Web 3尤佳 
2. 熟悉分散式架構如  Hadoop, Flink, Spark 等
3. 熟悉以下相關開發語言與工具，包括 Python, Jupyter,  Keras, Tensorflow, scikit-learn等
4. 熟悉 SQL/Non-SQL 資料庫與語法
5. 具備 RESTful 概念, git/git-flow 版本控管和協作技能
6. 熟悉 Linux/Unix 環境與具有 Docker / Kubernetes 使用經驗
7. 可配合公司執行專案外地出差",https://www.104.com.tw/job/81eea?jobsource=index_s
資料分析師 Data Analyst / 資料工程師Data Engineer,東勤股份有限公司,系統分析師、其他資訊專業人員,40000,高雄市岡山區高雄市岡山區中山北路138號3樓,"1.支援集團的銷售、定價、製造效率、庫存控制和其他項目
2.熟悉R Language
3.熟悉Database System
4.熟悉Shiny套件、plumber、Tidyverse

We are hiring data analysts to join our growing team.  We use R, Qlik Sense and other tools to support sales, pricing, manufacturing efficiency, inventory control, and other projects across our corporate group.  We clean, transform and interpret data to support management decision-making.  We build tools to support our users accomplish their daily work.

We need someone who can use at least one of R (especially Tidyverse) or Qlik Sense.  If you can't describe what a LEFT JOIN is and when to use it, then this isn't the job for you.

We need someone who is naturally curious and self-motivated to solve problems.","[{'Language': '英文', 'Listen': '略懂', 'Speak': '略懂', 'Read': '略懂', 'Write': '略懂'}]",R,系統整合分析,"1.具團隊合作精神、問題解決能力
2.對大數據分析以及學習新技術有熱忱",https://www.104.com.tw/job/7vtb5?jobsource=index_s
(030)【高雄軟體研發中心專區】- 數據工程師,鴻海精密工業股份有限公司,軟體工程師、演算法工程師、其他資訊專業人員,40000,高雄市前鎮區高軟,"1. AI 端對端數據流分析設計，建立持續整合、交付、布署機制，內外數據流議題與知識管控 
2. AI底層平台建立，包含容器管理、靈活調用資源、知識工程導向資料庫","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 具備處理大規模數據集進行數據挖掘/索引的經驗
2. 強大的分析和解決問題的能力
3. 了解將原型轉化為最終產品所面臨的挑戰
4. 熟悉在資源受限平台上高效開發運行的算法所面臨的挑戰
5. 熟練掌握軟件開發實踐，包括設計、估算、開發、程式碼審查和自動化佈署測試
6. 出色的多職能協作能力：展示了在組織中與算法設計、驗證工程師和其他技術部門合作的能力
7. 強大的軟件工程技能，能夠創建可擴展和堅固的深度學習數據、建模和評估系統基礎設施
8. 在應用研究和開發方面展示了領導能力
9. 富有創造力、合作精神和專注於專案目標，能夠在跨職能團隊中實際工作
10. 能夠自信地介紹研究成果，能夠與其他團隊有效溝通合作，並清晰地傳達工作內容
11. 優秀的書面和口頭溝通能力，能夠自信地向大型觀眾介紹研究成果",https://www.104.com.tw/job/81e9o?jobsource=index_s
(005)【高雄軟體研發中心專區】- 數據工程師,鴻海精密工業股份有限公司,軟體工程師、演算法工程師、其他資訊專業人員,40000,高雄市前鎮區高軟,"1. 數據治理實施，包括資料模型、資料定義、元數據、資料品質等
2. 建構數據工作流(Data Pipeline)、導入數據工程自動化和敏捷實踐(DataOps)
3. 熟悉數據架構規劃、數據源開發、數據蒐集與處理、數據探勘與加值
4. 數據建模 : 依主題挑選適當模型方法與參數處理進行多類型建模與冠軍模型挑選，與商業分析師合作進行統計分析模型及最佳化的研究與開發
5. 視覺化應用 : 善用視覺化工具(PowerBI)溝通特徵值與模型分析結果","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 具備4年以上 ML/DL 的開發經驗，熟悉區塊鏈(Blockchain)或Web 3尤佳 
2. 熟悉分散式架構如  Hadoop, Flink, Spark 等
3. 熟悉以下相關開發語言與工具，包括 Python, Jupyter,  Keras, Tensorflow, scikit-learn等
4. 熟悉 SQL/Non-SQL 資料庫與語法
5. 具備 RESTful 概念, git/git-flow 版本控管和協作技能
6. 熟悉 Linux/Unix 環境與具有 Docker / Kubernetes 使用經驗
7. 可配合公司執行專案外地出差",https://www.104.com.tw/job/81e3z?jobsource=index_s
(028)【高雄軟體研發中心專區】- 數據工程師,鴻海精密工業股份有限公司,軟體工程師、演算法工程師、其他資訊專業人員,40000,高雄市前鎮區高軟,"1. 建置與調教優化Vector DB於各領域的應用
2. 運用LLM、AI Embedding、Vector DB，加速進行各領域應用的Ontology與Graph DB建置","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. 具備處理大規模數據集進行數據挖掘/索引的經驗
2. 強大的分析和解決問題的能力
3. 熟悉在資源受限平台上高效開發運行的算法所面臨的挑戰
4. 具備Vector DB實務經驗
5. 具備Graph DB至少N年實務經驗
6. 出色的多職能協作能力：展示了在組織中與算法設計、驗證工程師和其他技術部門合作的能力
7. 強大的軟件工程技能，能夠創建可擴展和堅固的深度學習數據、建模和評估系統基礎設施
8. 在應用研究和開發方面展示了領導能力
9. 富有創造力、合作精神和專注於專案目標，能夠在跨職能團隊中實際工作
10. 能夠自信地介紹研究成果，能夠與其他團隊有效溝通合作，並清晰地傳達工作內容
11. 優秀的書面和口頭溝通能力，能夠自信地向大型觀眾介紹研究成果",https://www.104.com.tw/job/81e9b?jobsource=index_s
Battery cell (鋰電池)- 資料工程師(高雄) 2024AIT009,鴻海精密工業股份有限公司,軟體專案管理師、軟體助理工程師、軟體工程師,40000,高雄市大寮區依指定工作地點分派,"1. 研發數位化協作系統之相關資訊系統資料流串接 
2. ETL開發、資料倉儲建構及管理
3. 數據平台Schema設計
4. 數據平台Query (Stored Procedure) 撰寫
5. 資料清洗、聚合、傳輸程式撰寫","[{'Language': '英文', 'Listen': '中等', 'Speak': '中等', 'Read': '中等', 'Write': '中等'}]",不拘,不拘,"1. Relational and non-relational database. (SQL, Oracle, Redis, Mongo DB, HANA, InfluxDB)
2. ETL (extract, transform, and load) systems design.
3. Data storage (Data lake, Data mart)
4. Big data tools experience.
5. Cloud platform architechture developments.",https://www.104.com.tw/job/85zul?jobsource=index_s
系統整合開發工程師,欣瑞聯科技股份有限公司,系統工程師、資料工程師,40000,高雄市苓雅區新光路38號39樓 (距捷運三多商圈站約370公尺),"企業管理與簽核系統整合開發：

1. Visual Studio.net C# 資料庫程式設計與Git版本控制 (程式開發經驗三年以上)

2. 異質系統 API與SDK 串接整合 (如CRM & ERP、ERP與電子簽核系統)

3. 鼎新 Tipitop 或 T100 ERP 操作與管理

4. 其他主管交辦系統開發與維護業務",不拘,Git、C#、Visual C#、Visual Studio、Visual Studio .net、鼎新,系統架構規劃、系統維護操作、系統整合分析、軟體工程系統開發、資料庫系統管理維護、資料庫程式設計、MES工廠執行系統規劃管理、企業資源規劃管理(ERP)、系統架構規劃與維護,"具以下能力經驗者為佳：
1. 鼎新 Tipitop 或 T100 ERP 操作與管理
2. 鼎新 4GL 程式開發
3. 一等一科技UOF 簽核系統管理",https://www.104.com.tw/job/89pb4?jobsource=index_s
